Method,n,PSNR,SSIM,MAE,Vis
Input,152,19.274467927483784,0.7926660180091858,0.08832119211652562,0.47366220459812003
DCP,152,16.60088540747563,0.6713776588439941,0.1311508845047731,0.6479790361281219
CLAHE,152,18.560625810640843,0.8472743630409241,0.10069566541106294,0.5011502176113007
Retinex,152,10.880994270358634,0.15054911375045776,0.22332138014271072,0.3781970311971418
AdaIR,152,20.71193070211875,0.7339723706245422,0.07583466579059236,0.5310592501133795
LUCIDMine,152,23.121605837312526,0.9050043225288391,0.059357152099868186,0.5147661240515774
