epoch,train_loss,train_l1,train_ssim,train_ema,train_clip,val_masked_psnr,val_masked_ssim,val_masked_l1,val_full_psnr,val_full_ssim,val_reliability
1,0.09628830663859844,0.06420948263257742,0.16039411971966425,0.0,0.0,19.858798970778782,0.7331304500500361,0.10701644824196895,19.90891044338544,0.7326443927983443,0.9666344324747721
2,0.07879336116214593,0.05208205307523409,0.1335565373301506,0.0,0.0,20.914864997069042,0.7554955345888933,0.09365192824043334,20.944668372472126,0.7549049953619639,0.9666344324747721
3,0.07379519582415621,0.04765979309255878,0.13067701210578284,0.0,0.0,21.817565242449444,0.7719556701680025,0.08359145078187187,21.826171100139618,0.7712772687276205,0.9666344324747721
4,0.0707878937634329,0.045918034544835486,0.12434929609298706,0.0,0.0,22.459218462308247,0.7829172114531199,0.07721504755318165,22.450515349706013,0.7821796325345834,0.9666344324747721
5,0.06735929396624367,0.04287169547751546,0.12243798871835072,0.0,0.0,22.990842799345653,0.792411965628465,0.07185689992426585,22.961160739262898,0.7916479917864004,0.9666344324747721
6,0.06751534932603438,0.043524356093257666,0.11995496352513631,0.0,0.0,23.305130461851757,0.799346479276816,0.06839436296528827,23.26635827620824,0.7985576999684175,0.9666344324747721
7,0.06376265889654557,0.03998912350895504,0.11886767794688542,0.0,0.0,23.468847533067066,0.8047245206932226,0.06621300964616239,23.4324692885081,0.8039261636634668,0.9666344324747721
8,0.0648598768748343,0.04086004042377075,0.1199991802374522,0.0,0.0,23.55903132756551,0.8091383104523023,0.06469377316534519,23.53106963634491,0.8083398168285688,0.9666344324747721
9,0.0608886869934698,0.03804020149012407,0.11424242705106735,0.0,0.0,23.606110870838165,0.8129620378216108,0.06359915004577488,23.58524912595749,0.8121704459190369,0.9666344324747721
10,0.06111282669007778,0.038100771295527615,0.11506027479966481,0.0,0.0,23.624199906984966,0.8162423099080721,0.06274156253008793,23.612280309200287,0.8154465978344282,0.9666344324747721
11,0.05905743703866998,0.035720997489988804,0.1166821966568629,0.0,0.0,23.629446903864544,0.8188253939151764,0.06214090207746873,23.62445040543874,0.8180240169167519,0.9666344324747721
12,0.058878482319414616,0.03608459668854872,0.1139694278438886,0.0,0.0,23.641138076782227,0.8210092770556608,0.06173826129330943,23.638771255811054,0.8202209348479906,0.9666344324747721
13,0.05821753557150563,0.03582133484693865,0.11198100447654724,0.0,0.0,23.647903124491375,0.8229326369861761,0.06141597505969306,23.64883808294932,0.8221584421892961,0.9666344324747721
14,0.0559726944193244,0.03384896872254709,0.11061862607796986,0.0,0.0,23.65036851167679,0.8246178490420183,0.06114763374595592,23.652298470338184,0.8238701249162356,0.9666344324747721
15,0.058452678844332695,0.03477255208417773,0.1184006283680598,0.0,0.0,23.640533943970997,0.8261344879865646,0.06097528396639973,23.642326672871906,0.8254301610092322,0.9666344324747721
