epoch,train_loss,train_l1,train_ssim,train_ema,train_clip,val_masked_psnr,val_masked_ssim,val_masked_l1,val_full_psnr,val_full_ssim,val_reliability
1,0.13768367655575275,0.06987740720311801,0.17019550253947577,0.08186585487176974,0.5116116615633169,19.77824874718984,0.7319786076744398,0.10790152149274945,19.83047330379486,0.7314896682898203,0.9666344324747721
2,0.11137556905547778,0.058286850495884814,0.15288449078798294,0.07521178138752778,0.29981284278134507,20.578392604986828,0.7506368396182855,0.09760738435822229,20.616946438948315,0.7500311434268951,0.9666344324747721
3,0.10051652695983648,0.05408731351296107,0.1465794468919436,0.07152736807862918,0.19921172875910997,21.274728655815125,0.7650787395735582,0.08942819363437593,21.296730895837147,0.7643998811642329,0.9666344324747721
4,0.09469745059808095,0.05048429360613227,0.14368178943792978,0.05981202951321999,0.18991192989051342,21.827771365642548,0.775316039721171,0.08353252662345767,21.831055144468944,0.7745971990128359,0.9666344324747721
5,0.08388329607745011,0.04529765993356705,0.1305904487768809,0.053527090388039746,0.1422967320928971,22.26448929309845,0.7833679330845674,0.0792405487348636,22.253696699937183,0.7826391197741032,0.9666344324747721
6,0.08433160278946161,0.04661144036799669,0.13014580806096396,0.048523695673793554,0.1367726114888986,22.675321519374847,0.7910283158222834,0.07504893951894094,22.649726649125416,0.7902588571111361,0.9666344324747721
7,0.07956258518000443,0.04376434674486518,0.12852503856023154,0.04119088167014221,0.11948286602273583,22.90787386894226,0.7965625983973345,0.0725258932604144,22.877603511015575,0.7957790320118269,0.9666344324747721
8,0.07793151882166664,0.042305849492549896,0.12989110996325812,0.03838833258487284,0.11617233076443274,23.077585796515148,0.8015879541635513,0.07033202009430777,23.046782036622364,0.800804615020752,0.9666344324747721
9,0.07587022272249062,0.04176511118809382,0.1251649409532547,0.03527209581807256,0.11089825412879388,23.16853056351344,0.8053969852626324,0.06901291067091127,23.139504432678223,0.8046158154805502,0.9666344324747721
10,0.07341603189706802,0.040015603260447584,0.12461180239915848,0.030748748841385048,0.10806384279082219,23.226124902566273,0.8087410045166811,0.0678249978615592,23.20010205109914,0.8079554873208205,0.9666344324747721
11,0.07271021946022908,0.0388363025461634,0.12925628075997034,0.025240356956298154,0.10997249372303486,23.2554878393809,0.8112531838317713,0.0670875640741239,23.23458691438039,0.8104599018891653,0.9666344324747721
12,0.07069797348231077,0.038365290965884924,0.12343368430932362,0.024509580185015995,0.10389973067988952,23.27981475989024,0.8133276204268137,0.06648274468413244,23.26082654794057,0.8125426396727562,0.9666344324747721
13,0.06986306762943666,0.037867018952965736,0.12477819869915645,0.022017684920380514,0.09677281867091854,23.301660577456158,0.8151645660400391,0.06600096460897475,23.28374507029851,0.8143974505364895,0.9666344324747721
14,0.06877918851872285,0.03759371597940723,0.12347007791201274,0.019621009201121826,0.0905871173987786,23.315548638502758,0.8168254755437374,0.06558248012637098,23.300337692101795,0.8160639069974422,0.9666344324747721
15,0.06749768027414878,0.036756780774643026,0.12110589941342671,0.016994051945706207,0.09640627866610885,23.32781410217285,0.8183222934603691,0.065157472078378,23.31521173318227,0.8175741694867611,0.9666344324747721
16,0.06736223539337516,0.03643351327627897,0.12299620360136032,0.01517647384510686,0.09623667504638433,23.339173316955566,0.8196498826146126,0.0648108224850148,23.32818231980006,0.8189215560754141,0.9666344324747721
17,0.06916039406011502,0.03745861118659377,0.12754488488038382,0.01479667378589511,0.09426277348150809,23.342594762643177,0.820815929522117,0.06453411234542727,23.332301100095112,0.8201081305742264,0.9666344324747721
18,0.0657863615391155,0.035064040683209896,0.12429535388946533,0.011909022966089347,0.0934469571026663,23.350046515464783,0.8217898259560267,0.06431557432127495,23.340265731016796,0.8211035542190075,0.9666344324747721
19,0.06674245279282331,0.03563331998884678,0.12502082933982214,0.009721089988791695,0.10265716646487515,23.355515003204346,0.822658489147822,0.0641132672317326,23.34649892648061,0.821990450223287,0.9666344324747721
20,0.06765194625283281,0.03680360169770817,0.1253106320897738,0.008812804628784457,0.09809873656680186,23.356895705064137,0.8233786548177401,0.06395504476192097,23.34873006741206,0.8227211348712444,0.9666344324747721
1,0.11919879283250114,0.06760518209157902,0.14811536191422262,0.0605557221505377,0.31829930575173576,20.875040395370384,0.8457507988475016,0.07784530004819497,20.750562863634123,0.8355429456723447,0.8566327631868274
2,0.09718199984894858,0.05767503516449605,0.13588263517544594,0.03299062615145504,0.18062749592426383,22.396207809448242,0.8550412240407325,0.06475372936897325,22.18378659431508,0.8440508100370697,0.8566327631868274
3,0.08909421855652774,0.0541513352252451,0.13010459549633074,0.02331657183965967,0.13180614246722358,22.531149617883543,0.8583013794280046,0.06296225721078204,22.301974126045277,0.8473171268077876,0.8566327631868274
4,0.08523273159876282,0.05190522508856691,0.12825329178645287,0.020104103083549825,0.11332874802619587,22.745252103995014,0.8601459556857481,0.06138353586344924,22.468146759942666,0.849270157466661,0.8566327631868274
5,0.08147676316676317,0.04985686835407475,0.12466774310594723,0.0190437460364199,0.09563942136311973,22.891923714947225,0.8629707934840626,0.05985091986837766,22.576090894787516,0.8521417110961005,0.8566327631868274
6,0.07921089781563223,0.04881890007743129,0.12178982812681316,0.01680174394062272,0.08707714202687328,23.068560126601465,0.8662761370867293,0.05814017673695324,22.73660328846104,0.8551994802936024,0.8566327631868274
7,0.07646837524701784,0.04695340294252943,0.12006377695519248,0.014841060246122473,0.08036221529322642,23.13933045343058,0.8700196825905352,0.05708869905611932,22.830151753709806,0.8587647179104635,0.8566327631868274
8,0.07386076429651843,0.04514932611750232,0.11774954898857776,0.013988500972634849,0.07525356073668342,23.20507305978939,0.8710466200942235,0.05682023190307301,22.897975504793077,0.8597113059845981,0.8566327631868274
9,0.07250567877458201,0.04425278545161824,0.11670197196948676,0.012261783551815668,0.0737264009974437,23.220097800753763,0.8708618981948751,0.05706294497709401,22.923763275146484,0.8593085443736702,0.8566327631868274
10,0.07259457855036965,0.044437359972500506,0.11693800341935805,0.012271163312511312,0.07085003499171616,23.30810695926085,0.8719261813637437,0.05642286188505738,23.014967735240003,0.8601812361091967,0.8566327631868274
11,0.07054049227340722,0.04302099239035153,0.11503946781158447,0.010624861916711118,0.0689823902959441,23.364689492231964,0.8727947978783916,0.05587856033631903,23.070697620215004,0.8610115501264862,0.8566327631868274
12,0.0694501820353814,0.04229257865176524,0.11390454938382279,0.009375405494974535,0.0687830549331359,23.39147407329635,0.871898950330469,0.05612249290015524,23.091589201365085,0.8600722875026677,0.8566327631868274
13,0.06872087523893074,0.041912781120634374,0.11270402574244841,0.008352852705291208,0.06864006997856462,23.468572578682803,0.8732348183132955,0.055229071416700914,23.168141371366993,0.8612264718440984,0.8566327631868274
14,0.06741052737206589,0.041151412314286935,0.11193283251774164,0.006792109169318904,0.06386675336110739,23.46773676840675,0.8737933098875135,0.05517561395732772,23.170750220090348,0.8618109368330595,0.8566327631868274
15,0.06589579678795955,0.04011582304942019,0.1104779894705172,0.006078064463239301,0.061531381865526424,23.487085228724194,0.8745287688362677,0.0548515303171431,23.181705007489942,0.8626136412683701,0.8566327631868274
16,0.06556620766167287,0.03984302858373633,0.11115007488815873,0.004423877848082303,0.061015521072679095,23.470034820354538,0.8743205362597838,0.055121611631074485,23.17520769384523,0.8624358402182725,0.8566327631868274
17,0.0659422585165795,0.040254771456490326,0.11079005400339763,0.0033531815200227738,0.06388314781181606,23.440014567596233,0.8739074630453098,0.05536342899481587,23.153632902941165,0.8619871613205663,0.8566327631868274
18,0.06525408025876975,0.03966932907056661,0.11124398605323133,0.002458521528571936,0.061802032507128186,23.35989016097113,0.8731484263148529,0.05597145817187053,23.083862708893832,0.8612359777981082,0.8566327631868274
19,0.06541912078305527,0.03966165189113882,0.11212441582738618,0.0013756747673737046,0.0639003644708866,23.33335815833894,0.8729403816311565,0.05614281909552631,23.06258483280409,0.8610041054668806,0.8566327631868274
20,0.064959746658986,0.0396060954871369,0.11087574451058,0.0007914247393340769,0.06198718843774663,23.31736995368604,0.8729216902461273,0.05621042924112832,23.050849788236302,0.8609749145855178,0.8566327631868274
