epoch,train_loss,train_l1,train_ssim,train_ema,train_clip,val_masked_psnr,val_masked_ssim,val_masked_l1,val_full_psnr,val_full_ssim,val_reliability
1,0.10416300408542156,0.06385676081602772,0.16151200234889984,0.08003842923790216,0.0,19.826169818639755,0.7311863179008166,0.10715560405515134,19.826169818639755,0.7311863172799349,1.0
2,0.08588099014014006,0.051329486848165594,0.13370795796314874,0.07809911730388801,0.0,20.811024685700733,0.7529886662960052,0.09472192668666442,20.811024685700733,0.7529886662960052,1.0
3,0.08164390611151855,0.04830300295725465,0.13251091788212457,0.0683871863099436,0.0,21.684680461883545,0.7695538165668646,0.08489303655611972,21.684680461883545,0.7695538165668646,1.0
4,0.07766930634776752,0.04619985275591413,0.12713337689638138,0.060427770794679724,0.0,22.328623473644257,0.7806644005080065,0.07861200425152977,22.328623473644257,0.7806644005080065,1.0
5,0.07382285144800942,0.04380767606198788,0.12438030044237773,0.051391144593556724,0.0,22.852324585119884,0.7902778337399164,0.07344338647089899,22.852324585119884,0.7902778337399164,1.0
6,0.07252572445819776,0.04397137680401405,0.12126560509204865,0.043012265504027404,0.0,23.189283748467762,0.7972268251081308,0.07003449027736981,23.189283748467762,0.7972268251081308,1.0
7,0.06789131959279378,0.0398014640280356,0.12025729070107143,0.040383962293465935,0.0,23.417122582594555,0.8029452736179034,0.06740253453608602,23.417122582594555,0.8029452736179034,1.0
8,0.06945283307383458,0.041342759039252996,0.12142249445120494,0.03825574306150278,0.0,23.56033531824748,0.8076862692832947,0.06547084330425908,23.56033531824748,0.8076862692832947,1.0
9,0.0657031862065196,0.039253569673746824,0.11627018451690674,0.03195579807894925,0.0,23.64506854613622,0.8117046120266119,0.06408293925536175,23.64506854613622,0.8117046120266119,1.0
10,0.06452578383808334,0.03826207512368759,0.11649152139822642,0.029654023703187704,0.0,23.6900208791097,0.8150676973164082,0.06303761530822764,23.6900208791097,0.8150676973164082,1.0
11,0.06219492402548591,0.036064481983582176,0.11812559515237808,0.02505322638899088,0.0,23.712021271387737,0.8177514883379141,0.062274598400108516,23.712021271387737,0.8177514883379141,1.0
12,0.06162570044398308,0.03622795765598615,0.11556007464726765,0.02285726077388972,0.0,23.73103411992391,0.8199471645057201,0.06181311184385171,23.73103411992391,0.8199471645057201,1.0
