epoch,train_loss,train_l1,train_ssim,train_ema,train_clip,val_masked_psnr,val_masked_ssim,val_masked_l1,val_full_psnr,val_full_ssim,val_reliability
1,0.10421240019301574,0.06418883660808206,0.16035241385300955,0.07953079898531239,0.0,19.77726490298907,0.7316383818785349,0.10811310370142262,19.828352322181065,0.7311699812610944,0.9666344324747721
2,0.08631817220399778,0.05183195058877269,0.13322011878093085,0.07842196291312575,0.0,20.761150519053142,0.75308649862806,0.09558654359231393,20.794117709000904,0.752520510305961,0.9666344324747721
3,0.08196478430181742,0.04879999967912833,0.13193989048401514,0.06776806727672617,0.0,21.626045266787212,0.7692628316581249,0.08573179986948769,21.639340957005818,0.768614936619997,0.9666344324747721
4,0.07550168596208096,0.04482034454122186,0.12425874670346577,0.058295922353863716,0.0,22.296928822994232,0.7805745763083299,0.07894062607859571,22.290442963441212,0.7798701624075571,0.9666344324747721
5,0.0729892070715626,0.04316876859714588,0.12415591875712077,0.04989253791670004,0.0,22.81340581178665,0.789229662468036,0.07390132511500269,22.78888827562332,0.7884841759999593,0.9666344324747721
6,0.07116531735906999,0.042886679992079735,0.12194421390692393,0.03889794663215677,0.0,23.151867906252544,0.7956310721735159,0.07046581746544689,23.11740666627884,0.794852364808321,0.9666344324747721
1,0.09621093024350243,0.06340771460514745,0.1332777311772476,0.06147668922297013,0.0,21.024619209845334,0.8518859238814045,0.07736600427240725,20.918105106480073,0.8425685423888908,0.8566327631868274
2,0.08333561461372876,0.05556224070397424,0.1218268628473635,0.03408000924636,0.0,23.019481797881475,0.8716795476067145,0.05958711374427704,22.79132013131451,0.8621898688227925,0.8566327631868274
3,0.07653548508698557,0.05072487584878633,0.11777306265301174,0.022559968478701734,0.0,23.210014899045426,0.8742063191552826,0.05734324899335571,22.97059739978108,0.8648793760514417,0.8566327631868274
4,0.07395181892278754,0.04889051117186929,0.11533143711678776,0.019950201280736997,0.0,23.085864755491546,0.8747921657088576,0.05779551218775724,22.86279176876245,0.8656787217058093,0.8566327631868274
5,0.07142927152691064,0.04735965129953844,0.11159705306276863,0.017502098033825558,0.0,22.945501213831616,0.8748691950412776,0.05867382696527519,22.745944383128588,0.8657656264620901,0.8566327631868274
6,0.07006770574752196,0.04623288173734406,0.11061075513745532,0.01712672460111387,0.0,22.809525900329184,0.8743933391886831,0.05988555735852939,22.61246985631273,0.8652383136433481,0.8566327631868274
7,0.06910917583715033,0.04537673989011918,0.11045357474574337,0.016417209288956208,0.0,22.755030221496988,0.874555702635784,0.060498751502558096,22.56811841749987,0.865320092794911,0.8566327631868274
8,0.06609078641566965,0.043135385075009164,0.10823437681904545,0.013085256707222189,0.0,22.757229495522203,0.8752261838376127,0.06059966182077168,22.5731110983337,0.8660581119802614,0.8566327631868274
9,0.06437545255930335,0.041718208242529704,0.1075362084824362,0.011500020586184146,0.0,22.925338745117188,0.8777148206502396,0.05842446783767236,22.712254568441026,0.8685732779913391,0.8566327631868274
10,0.06333728486465083,0.04112040070977844,0.1054480340745714,0.011272770585492253,0.0,22.936189689383603,0.8770348595467624,0.05871444230048072,22.72674555494296,0.8678270921801889,0.8566327631868274
11,0.06375578710418424,0.04154030784366675,0.10567378482700866,0.010807222100319687,0.0,22.994564334288338,0.8776372698758612,0.0584656372296297,22.796222712030474,0.8683060139220282,0.8566327631868274
12,0.06208446672485198,0.04022723137412542,0.10465975344916921,0.009252847238432295,0.0,22.98739699812125,0.8775031250833676,0.05879966646975634,22.789556528558794,0.8680672199520844,0.8566327631868274
13,0.06110986853363337,0.039647300256255236,0.10312248453681852,0.008380708484450517,0.0,23.0373965257051,0.8784089893694745,0.05817524837144953,22.828964006032376,0.8689549956100666,0.8566327631868274
14,0.06028304936617245,0.039056283295338536,0.10262499252955119,0.007017670423482303,0.0,23.085669043837793,0.8790694550173173,0.05771603531494046,22.876401850719326,0.8695980093337052,0.8566327631868274
15,0.060102356781746136,0.0388487914669109,0.10362823583461621,0.005279177453449387,0.0,23.121439359045976,0.8794392457860984,0.057412949705262055,22.912459379789844,0.8699351920197341,0.8566327631868274
16,0.059593524162968,0.038498582145958034,0.10290232080000418,0.005144776060694346,0.0,23.13858028437128,0.8795709669195264,0.057229036095225255,22.926099928799054,0.870036854254489,0.8566327631868274
17,0.05792678034875864,0.0373104082558442,0.10149186260906266,0.0031799913540677986,0.0,23.111092965334457,0.8792933896677384,0.05746686991476855,22.904054212254405,0.8698005581533672,0.8566327631868274
18,0.058286053461976996,0.03780832749871928,0.10128424013102497,0.002208776033287983,0.0,23.082769431815244,0.8792529445610299,0.05759739551372481,22.875588789680936,0.8697938176969818,0.8566327631868274
19,0.05878707221536725,0.038098179183348464,0.10272750442410693,0.001433916859196522,0.0,23.07039591808193,0.8792464535757406,0.05763962169159327,22.86692657218074,0.8697951842617515,0.8566327631868274
20,0.05828216724833588,0.03786382798887329,0.10167170049231729,0.0008399887375151278,0.0,23.059679170318,0.879081446603434,0.05776390783636775,22.857754688389253,0.8696402196852576,0.8566327631868274
